교차로명,시간,차종,1,2,3,4,5,6,7,8,9,10,11,12,위도,경도
방서4,13:00,대형,36,23,13,3,16,0,10,33,43,3,19,0,36.606125,127.500912
방서4,13:00,소형,361,397,318,37,709,172,561,318,361,88,447,52,36.606125,127.500912
방서4,13:00,PCU,433,443,344,43,741,172,581,384,447,94,485,52,36.606125,127.500912
방서4,18:00,대형,23,15,23,0,21,4,11,20,17,3,17,1,36.606125,127.500912
방서4,18:00,소형,633,605,379,63,915,200,1106,507,876,139,391,58,36.606125,127.500912
방서4,18:00,PCU,679,635,425,63,957,208,1128,547,910,145,425,60,36.606125,127.500912
용암농협4,8:00,대형,37,5,30,15,51,3,61,5,9,1,0,9,36.609192,127.506165
용암농협4,8:00,소형,330,139,232,291,867,26,1325,199,131,52,18,190,36.609192,127.506165
용암농협4,8:00,PCU,404,149,292,321,969,32,1447,209,149,54,18,208,36.609192,127.506165
용암농협4,13:00,대형,16,0,35,7,38,0,36,0,7,0,5,5,36.609192,127.506165
용암농협4,13:00,소형,194,78,152,120,529,61,573,91,70,91,38,99,36.609192,127.506165
용암농협4,13:00,PCU,226,78,222,134,605,61,645,91,84,91,48,109,36.609192,127.506165
용암농협4,18:00,대형,36,1,40,23,32,8,20,2,8,5,0,23,36.609192,127.506165
용암농협4,18:00,소형,354,148,298,248,1107,96,1104,175,171,115,45,248,36.609192,127.506165
용암농협4,18:00,PCU,426,150,378,294,1171,112,1144,179,187,125,45,294,36.609192,127.506165
태산그린아파트4,8:00,대형,29,0,41,0,74,8,83,14,31,4,4,4,36.6132,127.510297
태산그린아파트4,8:00,소형,161,68,174,69,1274,77,1341,319,408,196,97,70,36.6132,127.510297
태산그린아파트4,8:00,PCU,219,68,256,69,1422,93,1507,347,470,204,105,78,36.6132,127.510297
태산그린아파트4,13:00,대형,33,3,12,1,31,6,46,7,17,3,6,3,36.6132,127.510297
태산그린아파트4,13:00,소형,98,40,96,30,592,76,699,208,241,105,46,51,36.6132,127.510297
태산그린아파트4,13:00,PCU,164,46,120,32,654,88,791,222,275,111,58,57,36.6132,127.510297
태산그린아파트4,18:00,대형,33,0,29,4,55,9,40,7,11,8,2,3,36.6132,127.510297
태산그린아파트4,18:00,소형,200,66,136,32,1161,162,1429,396,530,108,95,93,36.6132,127.510297
태산그린아파트4,18:00,PCU,266,66,194,40,1271,180,1509,410,552,124,99,99,36.6132,127.510297
명암타워4,8:00,대형,106,0,97,7,0,0,0,0,0,0,0,16,36.641263,127.49201
명암타워4,8:00,소형,2685,3,1257,199,3,0,2,13,119,1,1,422,36.641263,127.49201
명암타워4,8:00,PCU,2897,3,1451,213,3,0,2,13,119,1,1,454,36.641263,127.49201
명암타워4,13:00,대형,53,0,91,8,0,0,0,0,3,0,0,7,36.641263,127.49201
명암타워4,13:00,소형,896,5,909,126,0,4,3,64,71,5,0,262,36.641263,127.49201
명암타워4,13:00,PCU,1002,5,1091,142,0,4,3,64,77,5,0,276,36.641263,127.49201
명암타워4,18:00,대형,35,0,58,6,0,0,0,0,0,0,0,10,36.641263,127.49201
명암타워4,18:00,소형,1368,7,2857,66,0,0,2,77,62,4,1,345,36.641263,127.49201
명암타워4,18:00,PCU,1438,7,2973,78,0,0,2,77,62,4,1,365,36.641263,127.49201
율량상리4,8:00,대형,63,8,45,18,8,7,28,57,37,5,12,18,36.66214,127.511986
율량상리4,8:00,소형,1369,611,641,346,712,88,444,528,1633,60,587,172,36.66214,127.511986
율량상리4,8:00,PCU,1495,627,731,382,728,102,500,642,1707,70,611,208,36.66214,127.511986
율량상리4,13:00,대형,14,4,56,13,8,2,14,47,29,7,7,6,36.66214,127.511986
율량상리4,13:00,소형,525,273,468,87,329,51,357,467,485,22,342,85,36.66214,127.511986
율량상리4,13:00,PCU,553,281,580,113,345,55,385,561,543,36,356,97,36.66214,127.511986
율량상리4,18:00,대형,17,9,21,4,13,2,15,23,19,6,10,3,36.66214,127.511986
율량상리4,18:00,소형,669,517,1509,98,356,60,721,1447,624,124,694,238,36.66214,127.511986
